image,condition,value,status,method
document_01.jpg,brightness,1.0,found,藍色封面區域
document_01.jpg,brightness,0.7,found,藍色封面區域
document_01.jpg,brightness,0.5,found,藍色封面區域
document_01.jpg,brightness,0.3,found,藍色封面區域
document_01.jpg,brightness,0.15,not_found,
document_01.jpg,gaussian_blur_kernel,3,found,藍色封面區域
document_01.jpg,gaussian_blur_kernel,7,found,藍色封面區域
document_01.jpg,gaussian_blur_kernel,15,found,藍色封面區域
document_01.jpg,gaussian_blur_kernel,31,found,藍色封面區域
document_02.jpg,brightness,1.0,found,藍色封面區域
document_02.jpg,brightness,0.7,found,藍色封面區域
document_02.jpg,brightness,0.5,found,藍色封面區域
document_02.jpg,brightness,0.3,found,藍色封面區域
document_02.jpg,brightness,0.15,found,藍色封面區域
document_02.jpg,gaussian_blur_kernel,3,found,藍色封面區域
document_02.jpg,gaussian_blur_kernel,7,found,藍色封面區域
document_02.jpg,gaussian_blur_kernel,15,found,藍色封面區域
document_02.jpg,gaussian_blur_kernel,31,found,藍色封面區域
document_03.jpg,brightness,1.0,found,低門檻四邊形輪廓
document_03.jpg,brightness,0.7,not_found,
document_03.jpg,brightness,0.5,not_found,
document_03.jpg,brightness,0.3,not_found,
document_03.jpg,brightness,0.15,not_found,
document_03.jpg,gaussian_blur_kernel,3,found,低門檻四邊形輪廓
document_03.jpg,gaussian_blur_kernel,7,not_found,
document_03.jpg,gaussian_blur_kernel,15,not_found,
document_03.jpg,gaussian_blur_kernel,31,not_found,
